Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
IDA only,53.03928504,53.30192788,53.58254014,53.88589439,54.20950063,54.55819064,54.93001221,55.31415872,55.71023902,56.12885621,56.56886657,57.0404785,57.54413118,58.0884918,58.6617343,59.25516537,59.85814685,60.4595565,61.04404418,61.59966225,62.11612449,62.59424284,63.04081966,63.45961686,63.8531217,64.22299397
Lower middle income,59.51327503,59.82944232,60.18390187,60.51412528,60.83836607,61.15763163,61.48362547,61.81748623,62.15027062,62.46910141,62.77386848,63.09838756,63.41932207,63.75037636,64.09121385,64.43795562,64.79907534,65.16581905,65.52903001,65.90151693,66.26247496,66.59661259,66.90478931,67.19332042,67.45876614,67.7051777
Low & middle income,63.10605218,63.32667319,63.49355771,63.65308903,63.86816184,64.11405956,64.40477325,64.71889154,65.01158687,65.28152437,65.57977546,65.89344233,66.2010013,66.5204032,66.85716377,67.1800052,67.53803377,67.88503967,68.21289415,68.55521334,68.86513362,69.17862416,69.45985393,69.72966133,69.97035579,70.19326103
