"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Recipient(s)",
"Bahamas","","-0.04","..","..","0.02","0.06","0.07","0.05","0.69","0.05","0.07","0.08","0.25","1.22","0.48","0.52","0.66","0.59","0.47","1.17","1.23","2.01","1.94","1.87","0.89","10.7","0.7","5.6","0.67","4.24","3.92","3.15","2.76","2.7","1.03","0.87","4.26","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","0.04","0.94","1.35","0.64","0.58","0.88","9.71","0.05","0.2","0.14","0.95","4.7","2.84","14.24","37.69","25.86","163.16","47.96","83.96","135.29","206.53","197.16","156","255.33","211.22","74.06","99.51","8.84","-2.61","-1.76","137.5","94.7","80.11","111.43","95.79","99.87","132.32","150.28","199.72","61.88","60.43","70.81","61.58","131.77","58.22","..","..","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","15.36","223.76","421.47","531.39","1071.62","497.89","784.36","995.01","1162.66","1286.72","1099.04","1337.4","1042.43","1186.82","1126.53","1428.05","1792.6","1614.36","1799.49","2092.76","1880.24","1818.39","1383.26","1742.89","1281.74","1228.07","1012.36","1162.86","1219.49","1174.33","1045","900.55","1397.87","1416.83","1320.43","1222.89","1512.9","2070.9","1237.38","1404.6","1494.68","2154.05","2633.59","2422.64","2570.13","2503.59"
"Barbados","","..","..","..","..","..","..","1.6","0.59","0.85","1.3","2.32","4.57","4.73","4.74","3.86","5.27","7.55","5.82","11.32","10.98","13.86","17.11","12.66","18.6","8.15","7.29","3.68","6.14","2.9","2.01","2.63","2.12","0.03","3.6","1.02","-1.16","4.23","4.32","15.66","-2.13","0.24","-1.15","3.31","19.78","28.81","-2.1","-2.29","17.51","7.12","10.86","16.2","..","..","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","58.01","74.76","85.43","111.14","98.22","136.26","119.8","102.87","107.14","120.61","104.58","-22.31"
"Belize","","1.82","2.82","5.52","4.06","1.55","2.13","2.58","5.84","5.52","6.84","5.95","5.07","8.87","4.67","6.22","8.71","11.63","9.53","18.22","20.72","14.5","11.31","12.03","15.06","13.9","21.93","24.06","23.48","25.01","28.52","30.32","21.77","26.16","31.11","32.17","18.83","21.23","14.12","15.31","47.77","16.29","23.2","23.6","13.18","7.5","12","8.16","22.21","23.85","26.97","25.01","21.92","26.21","51.27","37.56","28.27","34.96"
"Benin","","0.02","1.48","3.75","4.26","18.07","17.88","14.92","16.27","13.14","13.14","14.74","28.98","20.04","26.48","33.07","54.11","50.75","48.82","60.34","84.61","88.23","81.24","79.7","84.93","75.03","93.91","134.67","133.7","157.97","267.87","266.88","265.66","269.04","287.76","256.38","280.56","288.29","221.15","205.23","212.44","244.77","280.42","221.54","301.99","391.79","349.08","400.31","475.29","636.72","677.56","689.27","672.61","507.88","660.2","599.32","430.14","492.89"
"Bermuda","","..","..","..","..","0.01","0.05","0.06","0.06","0.04","0.01","0.01","..","0.01","..","0.03","0.02","0.03","0.08","0.16","0.15","0.28","0.21","0.07","0.07","0.08","0.94","0.09","0.23","0.04","0.1","42.19","-4.72","-5","-4.82","-12.48","-2.08","-4.07","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bhutan","","..","..","..","0.01","0.01","0.16","0.05","0.01","0.14","0.1","0.21","0.14","0.19","0.52","0.61","2.1","3.22","2.9","3.12","4.96","8.06","9.65","11.25","12.92","17.24","23.39","38.93","40.46","40.65","40.57","46","61.41","56.16","65.15","75.1","73.22","59.52","66.02","56.22","67.16","53.39","60.78","73.4","76.9","78.26","90.1","95.72","103.05","85.08","127.3","131.38","141.22","161.65","136.8","130.64","97.28","51.47"
"Bolivia","","12.08","23.63","35.91","53.5","40.92","33.96","30.05","28.78","47.44","37.08","32.64","33.58","51.74","30.93","61.7","55.79","65","92.66","145.14","156.16","169.46","169.08","148.12","173.46","168.42","196.38","333.77","308.24","419.36","496.23","545.44","502.89","666.93","559.93","562.18","712.36","828.4","698.65","634.19","579.54","486.03","747.68","692.75","941.18","788.76","643.35","850.04","475","628.32","711.47","717.69","723.47","661.72","702.3","674.56","791.31","696.45"
